平台,產品1,產品2,Function,Intention,landing後的URL
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/FundTxn/F0202_ETFPurChase
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/FundTxn/F0203_Redeem
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/FundTxn/F0204_TimeRedeem
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/FundTxn/F0205_ETFRedeem
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/FundTxn/F0206_Switch
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/FundTxn/F0208_Change
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/FXfer/R0201_FXfer
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/FXfer/R0201_FXfer_Inp
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/FXfer/R0202_XferInq_Qry
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home/
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home#
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home#B0102_contentTab_AcctInq_B0102
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home#B0501-step-1
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home#barChart
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home#contentTab_AcctInq_B0101
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home#contentTab_Apply_C0203
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home#contentTab_FAcctInq_R0101
